filename,disc_x,disc_y,disc_height
5455178_2.png,1788,976,362
23294265.png,1443,824,298
21860674_2.png,2055,916,377
23227642.png,29,882,330
21896237_2.png,1734,916,306
21896237.png,1670,906,298
22157242_2.png,1707,736,309
22205914.png,1752,781,312
23031301.png,60,976,378
22749684.png,57,683,310
22449615.png,44,973,318
10907481.png,36,785,318
23009082_2.png,1800,658,358
9147178.png,1865,995,307
21860674.png,1764,932,342
23031301_2.png,13,1164,400
22157242.png,1822,863,346
23242134.png,30,780,375
21985444_2.png,1737,772,373
23242134_2.png,58,760,345
23320162.png,64,787,346
22138604_2.png,67,994,440
23320162_2.png,59,865,369
23020894.png,2028,1222,364
22028370_2.png,1488,690,280
22899013.png,76,824,400
20287916_2.png,1583,609,333
21755425.png,1645,806,298
20287916.png,1854,913,379
22749684_2.png,94,723,329
22161106_2.png,1818,816,338
22463450.png,2166,1004,500
22163937.png,1703,862,307
22504964.png,25,967,318
22161106.png,1708,827,341
22973051.png,1772,803,361
1954640.png,1962,1094,409
9339896_2.png,1677,898,288
5455178.png,1632,1014,329
23439203.png,27,840,296
22337217.png,35,788,361
22028370.png,1582,762,290
21985444.png,1751,840,369
23009082.png,1669,801,330
22138604.png,58,962,443
22163937_2.png,1617,880,267
22732823.png,24,875,293
9147178_2.png,1957,1000,296
22337217_2.png,12,795,354
23294265_2.png,1565,830,338
23020894_2.png,1924,1054,390
9339896.png,1597,933,287
