filename,disc_x,disc_y,disc_height
5455178_2.png,1928,976,150
23294265.png,1473,824,150
21860674_2.png,2095,916,150
23227642.png,58,882,150
21896237_2.png,1769,916,150
21896237.png,1703,906,150
22157242_2.png,1716,736,150
22205914.png,1783,781,150
23031301.png,76,976,150
22749684.png,57,683,150
22449615.png,79,973,150
10907481.png,36,785,150
23009082_2.png,1834,658,150
9147178.png,1876,995,150
21860674.png,1814,932,150
23031301_2.png,28,1164,150
22157242.png,1832,863,150
23242134.png,30,780,150
21985444_2.png,1815,772,150
23242134_2.png,58,760,150
23320162.png,74,787,150
22138604_2.png,87,994,150
23320162_2.png,67,865,150
23020894.png,2042,1222,150
22028370_2.png,1495,690,150
22899013.png,76,824,150
20287916_2.png,2007,609,150
21755425.png,1674,806,150
20287916.png,1866,913,150
22749684_2.png,181,723,150
22161106_2.png,1853,816,150
22463450.png,2182,1004,150
22163937.png,1735,862,150
22504964.png,63,967,150
22161106.png,1739,827,150
22973051.png,1805,803,150
1954640.png,2000,1094,150
9339896_2.png,1677,898,150
5455178.png,1769,1014,150
23439203.png,27,840,150
22337217.png,66,788,150
22028370.png,1589,762,150
21985444.png,1784,840,150
23009082.png,1700,801,150
22138604.png,74,962,150
22163937_2.png,1647,880,150
22732823.png,44,875,150
9147178_2.png,1970,1000,150
22337217_2.png,41,795,150
23294265_2.png,1619,830,150
23020894_2.png,1936,1054,150
9339896.png,1626,933,150
