filename,split_column,b_scan_width,en_face_width,original_width,detection_method,safety_margin_applied,trim_left_offset,scrub_offset,b_scrub_offset,final_split_column
10907481.png,1675,1676,1736,3575,divider,-150,54,110,194,1839
1954640.png,1943,2018,2070,4115,divider,-150,0,102,103,2045
20287916.png,1832,1890,1963,3923,divider,-150,0,128,178,1960
20287916_2.png,1474,1774,2174,3648,boundary,-150,0,0,0,1474
21755425.png,1572,1580,1699,3382,divider,-150,0,111,192,1683
21860674.png,1740,1718,1827,3657,divider,-150,33,57,195,1830
21860674_2.png,2018,1991,2144,4262,divider,-150,39,61,202,2118
21896237.png,1691,1689,1795,3593,divider,-150,53,54,195,1798
21896237_2.png,1731,1724,1862,3698,divider,-150,49,56,196,1836
21985444.png,1723,1719,1832,3662,divider,-150,51,56,195,1830
21985444_2.png,1774,1724,1871,3707,divider,-150,6,56,196,1836
22028370.png,1511,1584,1642,3286,divider,-150,0,133,174,1644
22028370_2.png,1497,1570,1624,3254,divider,-150,0,133,174,1630
22138604.png,2086,2133,2194,4404,divider,-150,0,124,180,2210
22138604_2.png,2100,2142,2180,4400,divider,-150,0,120,181,2220
22157242.png,1716,1780,1848,3694,divider,-150,0,130,176,1846
22157242_2.png,1602,1670,1741,3474,divider,-150,0,131,175,1733
22161106.png,1678,1763,1801,3588,divider,-150,0,109,109,1787
22161106_2.png,1853,1932,1905,3863,divider,-150,0,105,106,1958
22163937.png,1673,1757,1798,3579,divider,-150,0,108,110,1781
22163937_2.png,1621,1707,1734,3465,divider,-150,0,110,112,1731
22205914.png,1685,1770,1811,3611,divider,-150,0,109,110,1794
22337217.png,1667,1667,1766,3542,divider,-150,54,55,194,1776
22337217_2.png,1638,1641,1739,3487,divider,-150,56,54,194,1748
22449615.png,1863,1849,1950,3918,divider,-150,45,60,198,1968
22463450.png,2061,2108,2215,4400,divider,-150,0,124,180,2185
22504964.png,1921,1997,2001,4024,divider,-150,0,102,104,2023
22732823.png,1794,1829,1885,3799,divider,-150,0,120,185,1914
22749684.png,1811,1825,1638,3639,boundary,-150,0,190,286,2001
22749684_2.png,1521,1793,1731,3556,boundary,-150,0,304,0,1825
22899013.png,1879,2023,1936,4033,divider,-150,0,218,58,2097
22973051.png,1710,1792,1858,3675,divider,-150,0,107,109,1817
23009082.png,1618,1621,1747,3474,divider,-150,55,54,193,1727
23009082_2.png,1801,1792,1892,3799,divider,-150,49,57,196,1907
23020894.png,2014,2119,2076,4216,divider,-150,0,126,126,2140
23020894_2.png,1910,2017,2022,4060,divider,-150,0,128,128,2038
23031301.png,2056,2102,2183,4363,divider,-150,0,124,181,2180
23031301_2.png,2077,2123,2199,4400,divider,-150,0,124,181,2201
23227642.png,1635,1640,1714,3460,divider,-150,0,111,193,1746
23242134.png,1797,1857,1880,3840,divider,-150,0,163,177,1960
23242134_2.png,1687,1751,1771,3620,divider,-150,0,162,176,1849
23294265.png,1588,1595,1675,3373,divider,-150,0,110,192,1698
23294265_2.png,1758,1730,1868,3712,divider,-150,29,57,196,1844
23320162.png,1689,1753,1801,3620,divider,-150,0,130,176,1819
23320162_2.png,1566,1679,1684,3382,divider,-150,0,132,132,1698
23439203.png,1739,1791,1812,3703,divider,-150,0,152,177,1891
5455178.png,1755,1653,1812,3570,divider,-150,3,0,195,1758
5455178_2.png,1895,1751,1964,3859,divider,-150,0,0,198,1895
9147178.png,1758,1820,1889,3776,divider,-150,0,129,176,1887
9147178_2.png,1849,1906,1984,3960,divider,-150,0,127,178,1976
9339896.png,1570,1579,1664,3345,divider,-150,0,111,191,1681
9339896_2.png,1685,1684,1722,3570,divider,-150,53,110,194,1848
